,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
24,0.021021175384521484,0.0011904946618887721,0.003428792953491211,0.0023509898975550324,3,1,10,"{'max_depth': 3, 'max_features': 1, 'n_estimators': 10}",0.5382003395585738,0.5517826825127334,0.5382003395585738,0.533106960950764,0.565365025466893,0.5453310696095076,0.011782242154769083,86
25,0.1812671661376953,0.0027586401622548594,0.011090803146362304,0.002803144845746053,3,1,100,"{'max_depth': 3, 'max_features': 1, 'n_estimators': 100}",0.5602716468590832,0.5568760611205433,0.5432937181663837,0.5297113752122241,0.5415959252971138,0.5463497453310696,0.011076065487470343,82
26,0.358829402923584,0.011462200060487177,0.02326993942260742,0.003264741569707213,3,1,200,"{'max_depth': 3, 'max_features': 1, 'n_estimators': 200}",0.5500848896434635,0.5551782682512734,0.5534804753820034,0.5263157894736842,0.5466893039049237,0.5463497453310696,0.010432795582843624,82
27,0.022597742080688477,0.0038926031312700644,0.0037456512451171874,0.004584769202300992,3,2,10,"{'max_depth': 3, 'max_features': 2, 'n_estimators': 10}",0.5449915110356537,0.5840407470288624,0.5772495755517827,0.5432937181663837,0.5568760611205433,0.5612903225806452,0.016621036673032802,68
28,0.19265308380126953,0.0027976496024452666,0.013487100601196289,0.002446430199453909,3,2,100,"{'max_depth': 3, 'max_features': 2, 'n_estimators': 100}",0.568760611205433,0.5806451612903226,0.5959252971137521,0.5432937181663837,0.5534804753820034,0.5684210526315789,0.01876502801989554,51
29,0.38674488067626955,0.0044996126777951785,0.026047325134277342,0.002801066427654748,3,2,200,"{'max_depth': 3, 'max_features': 2, 'n_estimators': 200}",0.568760611205433,0.5908319185059423,0.5806451612903226,0.5466893039049237,0.5619694397283531,0.5697792869269949,0.015208282293078907,48
30,0.028276777267456053,0.010451086780204918,0.004111480712890625,0.002432355221693077,3,3,10,"{'max_depth': 3, 'max_features': 3, 'n_estimators': 10}",0.5738539898132428,0.5942275042444821,0.5789473684210527,0.5551782682512734,0.5721561969439728,0.5748726655348048,0.012549893794618879,35
31,0.2023451805114746,0.00427645809871547,0.015164804458618165,0.0030528232361248307,3,3,100,"{'max_depth': 3, 'max_features': 3, 'n_estimators': 100}",0.5806451612903226,0.601018675721562,0.5925297113752123,0.5534804753820034,0.568760611205433,0.5792869269949067,0.0168894127204698,9
32,0.4007049560546875,0.008137281098837993,0.024652862548828126,0.00407477822690751,3,3,200,"{'max_depth': 3, 'max_features': 3, 'n_estimators': 200}",0.5789473684210527,0.6027164685908319,0.5891341256366723,0.5568760611205433,0.567062818336163,0.5789473684210525,0.016106677386256596,17
33,0.024318552017211913,0.0028595435911366834,0.004756927490234375,0.0023680680258332375,3,4,10,"{'max_depth': 3, 'max_features': 4, 'n_estimators': 10}",0.5704584040747029,0.5942275042444821,0.5942275042444821,0.5500848896434635,0.565365025466893,0.5748726655348048,0.017167028400359285,35
